item,itemLabel,coords,image,dgpcid
http://www.wikidata.org/entity/Q11781,Ammaia,Point(-7.38639722 39.36933056),http://commons.wikimedia.org/wiki/Special:FilePath/Cidade%20Romana%20de%20Ammaia%20III.jpg,69711
http://www.wikidata.org/entity/Q385283,Ribeira (Porto),Point(-8.61305556 41.14027778),http://commons.wikimedia.org/wiki/Special:FilePath/Porto%20view%20from%20Vila%20Nova%20de%20Gaia%20%2827078365799%29.jpg,74501
http://www.wikidata.org/entity/Q790492,Avenida da Liberdade,Point(-9.145311 38.719565),http://commons.wikimedia.org/wiki/Special:FilePath/Avenida%20da%20Liberdade%20%2822344060581%29%20%28cropped%29.jpg,71712
http://www.wikidata.org/entity/Q804032,Baixa de Lisboa,Point(-9.137736 38.711393),http://commons.wikimedia.org/wiki/Special:FilePath/Lisbon%20main%20square%20%2836622604910%29.jpg,10011325
http://www.wikidata.org/entity/Q1518830,Mina de São Domingos,Point(-7.500184 37.67434),http://commons.wikimedia.org/wiki/Special:FilePath/Mina%20de%20S%C3%A3o%20Domingos%20-%20Lagoa%20%C3%A1cida.JPG,5030621
http://www.wikidata.org/entity/Q1668806,Portas de Benfica,Point(-9.208888 38.75327),http://commons.wikimedia.org/wiki/Special:FilePath/Portas%20de%20Benfica%20in%202016%20%28cropped%29.JPG,71962
http://www.wikidata.org/entity/Q2141019,Moncarapacho,Point(-7.787777777 37.084722222),http://commons.wikimedia.org/wiki/Special:FilePath/Igreja%20Matriz%20de%20Moncarapacho.jpg,72502
http://www.wikidata.org/entity/Q3344716,Santuário de Nossa Senhora da Pedra Mua,Point(-9.21452 38.4203),http://commons.wikimedia.org/wiki/Special:FilePath/Igreja%20de%20Nossa%20Senhora%20do%20Cabo%20-%20frente.JPG,73479
http://www.wikidata.org/entity/Q3848157,Centro Histórico do Porto,Point(-8.612974 41.143191),http://commons.wikimedia.org/wiki/Special:FilePath/Centro%20Hist%C3%B3rico%20de%20Porto%20por%20Rodrigo%20Tetsuo%20Argenton%20%2804%29.jpg,11871408
http://www.wikidata.org/entity/Q5641906,Passeio Alegre (Póvoa de Varzim),Point(-8.7675 41.3793),http://commons.wikimedia.org/wiki/Special:FilePath/Passeio%20Alegre.jpg,74560
http://www.wikidata.org/entity/Q10320490,Lugar das Pedrinhas,Point(-8.786713888 41.498733333),http://commons.wikimedia.org/wiki/Special:FilePath/Typical%20Pedrinhas%20Houses.JPG,15101186
